Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Peaks_Wvf,Unit_vs_Temp_CS,Unit_vs_Temp_CS_t,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MA,Unit_Peak_Detection_t,Unit_Drift_TR,Unit_Drif_TR_t,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_t,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_t,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Drift_TR,Chunk_Drift_TR_t
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,5,"(300, 360)",6765,3,0.98,1,1.0,1,0,0,117.87,15.04,0.98,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,6,"(360, 420)",6659,3,0.98,1,1.0,1,0,0,116.79,15.0,0.98,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,7,"(420, 480)",6329,3,0.98,1,1.0,1,0,0,111.91,15.61,0.99,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,8,"(480, 540)",7177,3,0.98,1,1.0,1,0,0,125.04,15.13,0.99,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,9,"(540, 600)",6974,3,0.97,1,1.0,1,0,0,121.29,15.03,0.98,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,10,"(600, 660)",6901,3,0.97,1,1.0,1,0,0,120.21,14.99,0.98,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,11,"(660, 720)",7041,3,0.97,1,1.0,1,0,0,121.88,14.77,0.97,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,12,"(720, 780)",6819,3,0.97,1,1.0,1,0,0,118.66,14.71,0.97,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,13,"(780, 840)",6790,3,0.97,1,1.0,1,0,0,117.89,14.66,0.97,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,14,"(840, 900)",6655,3,0.98,1,1.0,1,0,0,116.48,14.9,0.98,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,15,"(900, 960)",6681,3,0.97,1,1.0,1,0,0,116.67,14.6,0.96,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,16,"(960, 1020)",6536,3,0.98,1,1.0,1,0,0,114.94,14.95,0.98,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,17,"(1020, 1080)",6763,3,0.98,1,1.0,1,0,0,118.04,14.78,0.97,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,18,"(1080, 1140)",6599,3,0.97,1,1.0,1,0,0,115.74,14.44,0.95,1
19-01-16_YC011,27,84,135410,3,0.98,1,0,0,118.22,15.01,12.71,0.98,1,19,"(1140, 1200)",6522,3,0.98,1,1.0,1,0,0,113.15,14.62,0.96,1
